Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Mark Blount,Pre,1548,200607,6,22,39,44,56.4,117.3,6.5,1.1,12.2,2.0,128.1,32,85,80,74,93
Mark Blount,Pre,1548,200708,6,8,26,16,30.8,65.0,-8.6,-1.4,-2.5,-0.4,63.2,3,3,13,4,2
Mark Blount,Pre,1548,200809,5,11,24,22,45.8,95.6,-1.0,-0.2,2.5,0.5,101.0,7,37,39,31,55
Adrian Griffin,Pre,1559,200607,4,5,11,10,45.5,94.5,-0.6,-0.1,1.0,0.3,101.7,0,40,46,28,56
Adrian Griffin,Pre,1559,200809,1,0,3,0,0.0,0.0,-2.9,-2.9,-2.4,-2.4,0.0,0,0,3,0,0
Kevin Ollie,Pre,1563,200506,2,7,12,14,58.3,124.2,2.7,1.4,4.8,2.4,137.5,25,93,83,76,98
Kevin Ollie,Pre,1563,200607,3,9,18,18,50.0,104.0,0.7,0.2,3.3,1.1,121.7,25,59,59,52,89
Kevin Ollie,Pre,1563,200708,3,5,10,10,50.0,105.6,0.5,0.2,2.9,1.0,117.7,0,59,56,28,84
Kevin Ollie,Pre,1563,200809,4,3,9,6,33.3,69.5,-2.6,-0.7,-1.3,-0.3,68.4,0,5,28,14,5
Kevin Ollie,Pre,1563,200910,4,4,9,8,44.4,91.4,-0.8,-0.2,0.9,0.2,108.2,0,28,41,14,66
Rick Brunson,Pre,1594,200506,3,2,6,4,33.3,71.0,-1.6,-0.5,-0.6,-0.2,93.0,0,6,33,13,34
Rick Brunson,Pre,1594,200607,4,1,7,2,14.3,29.7,-4.7,-1.2,-3.7,-0.9,23.4,0,0,18,5,0
Troy Hudson,Pre,1607,200506,2,7,15,14,46.7,99.4,-0.1,0.0,2.6,1.3,96.4,49,45,46,47,40
Troy Hudson,Pre,1607,200607,5,12,34,26,38.2,79.5,-6.7,-1.3,-1.7,-0.3,84.3,38,13,15,13,20
Troy Hudson,Pre,1607,200708,4,17,41,38,46.3,97.9,-0.8,-0.2,8.9,2.2,97.6,81,47,46,60,44
