Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Memphis Grizzlies,Pre,1610612763,201011,8,302,607,634,52.2,108.6,50.0,6.3,213.7,26.7,106.8,30,90,90,94,95
Memphis Grizzlies,Pre,1610612763,201112,2,67,154,142,46.1,99.6,-0.5,-0.3,32.7,16.4,97.9,100,100,100,100,100
Memphis Grizzlies,Pre,1610612763,201213,8,295,656,636,48.5,101.5,9.2,1.1,153.9,19.2,100.1,63,59,59,59,52
Memphis Grizzlies,Pre,1610612763,201314,8,260,611,559,45.7,96.5,-20.0,-2.5,50.7,6.3,96.7,20,24,24,24,36
Memphis Grizzlies,Pre,1610612763,201415,8,287,636,618,48.6,99.3,-4.1,-0.5,72.8,9.1,101.2,55,46,46,42,62
Memphis Grizzlies,Pre,1610612763,201516,7,219,533,477,44.8,93.5,-33.4,-4.8,80.7,11.5,95.8,4,4,7,4,18
Memphis Grizzlies,Pre,1610612763,201617,6,216,513,491,47.9,97.0,-15.0,-2.5,62.5,10.4,97.3,69,28,28,28,31
Memphis Grizzlies,Pre,1610612763,201718,5,191,435,416,47.8,94.3,-25.3,-5.1,70.3,14.1,94.6,64,17,17,17,18
Memphis Grizzlies,Pre,1610612763,201819,5,184,405,412,50.9,101.5,5.9,1.2,183.8,36.8,101.0,7,49,49,32,60
Washington Wizards,Pre,1610612764,200506,7,220,546,472,43.2,92.0,-40.8,-5.8,55.1,7.9,90.2,69,4,7,4,4
Washington Wizards,Pre,1610612764,200607,8,273,596,589,49.4,102.8,15.9,2.0,102.6,12.8,106.0,32,69,69,69,87
Washington Wizards,Pre,1610612764,200708,7,223,552,469,42.5,89.7,-53.8,-7.7,76.6,10.9,90.7,47,7,7,4,9
Washington Wizards,Pre,1610612764,200809,7,214,551,468,42.5,88.6,-60.5,-8.6,19.6,2.8,88.3,70,7,7,7,4
Washington Wizards,Pre,1610612764,200910,8,285,627,609,48.6,99.9,-0.6,-0.1,116.0,14.5,100.3,59,56,56,52,49
Washington Wizards,Pre,1610612764,201011,7,257,581,561,48.3,100.4,2.1,0.3,158.7,22.7,100.0,87,50,50,57,47
Washington Wizards,Pre,1610612764,201112,2,61,179,127,35.5,76.7,-38.7,-19.3,0.0,0.0,77.2,100,100,100,100,100
Washington Wizards,Pre,1610612764,201213,8,280,681,621,45.6,95.4,-29.8,-3.7,120.4,15.1,97.1,97,18,18,25,27
Washington Wizards,Pre,1610612764,201314,7,237,571,527,46.2,97.4,-14.0,-2.0,52.1,7.4,95.8,57,37,37,37,26
Washington Wizards,Pre,1610612764,201415,8,259,596,555,46.6,95.2,-27.9,-3.5,44.1,5.5,97.4,10,13,20,13,25
Washington Wizards,Pre,1610612764,201516,7,287,607,633,52.1,108.9,51.7,7.4,181.6,25.9,109.4,83,97,97,97,94
Washington Wizards,Pre,1610612764,201617,7,287,623,627,50.3,102.0,12.5,1.8,106.5,15.2,103.9,90,66,69,73,77
Washington Wizards,Pre,1610612764,201718,5,214,425,475,55.9,110.2,43.8,8.8,137.2,27.4,109.8,47,90,90,90,96
Washington Wizards,Pre,1610612764,201819,5,217,447,484,54.1,108.0,35.8,7.2,232.2,46.4,105.5,56,80,83,90,67
Detroit Pistons,Pre,1610612765,200506,6,209,479,447,46.7,99.4,-2.9,-0.5,81.3,13.6,97.6,87,45,45,56,36
Detroit Pistons,Pre,1610612765,200607,7,237,523,499,47.7,99.2,-3.9,-0.6,72.3,10.3,100.0,35,38,38,38,49
Detroit Pistons,Pre,1610612765,200708,8,278,662,597,45.1,95.2,-29.9,-3.7,126.4,15.8,97.9,77,24,24,30,37
Detroit Pistons,Pre,1610612765,200809,8,251,606,539,44.5,92.7,-42.3,-5.3,45.8,5.7,95.9,20,14,14,14,19
Detroit Pistons,Pre,1610612765,200910,8,276,576,588,51.0,105.0,28.0,3.5,135.1,16.9,105.1,0,83,83,69,84
Detroit Pistons,Pre,1610612765,201011,8,276,613,605,49.4,102.6,15.3,1.9,180.6,22.6,102.2,47,70,71,54,71
Detroit Pistons,Pre,1610612765,201112,2,55,147,124,42.2,91.2,-12.0,-6.0,19.7,9.9,89.0,100,100,100,100,100
Detroit Pistons,Pre,1610612765,201213,8,267,633,575,45.4,95.1,-29.9,-3.7,109.8,13.7,90.1,32,14,14,18,3
