Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
Phoenix Suns,Post,1610612756,200001,4,136,358,289,40.4,87.5,-41.5,-10.4,91.6,94,0,0,15
Phoenix Suns,Post,1610612756,200203,6,194,502,416,41.4,87.4,-59.9,-10.0,86.5,87,0,0,0
Phoenix Suns,Post,1610612756,200405,15,627,1272,1383,54.4,111.6,143.7,9.6,109.5,80,100,100,100
Phoenix Suns,Post,1610612756,200506,20,801,1661,1786,53.8,108.0,131.6,6.6,105.3,87,100,100,86
Phoenix Suns,Post,1610612756,200607,11,429,900,936,52.0,107.5,65.7,6.0,106.2,87,100,100,96
Phoenix Suns,Post,1610612756,200708,5,190,412,405,49.2,101.6,6.3,1.3,102.6,87,74,74,72
Phoenix Suns,Post,1610612756,200910,16,608,1274,1366,53.6,108.2,103.2,6.4,106.8,87,100,100,99
Portland Trail Blazers,Post,1610612757,199697,4,131,292,280,48.0,98.9,-3.0,-0.7,100.0,27,40,40,62
Portland Trail Blazers,Post,1610612757,199798,4,144,318,311,48.9,101.6,4.8,1.2,103.2,87,67,74,94
Portland Trail Blazers,Post,1610612757,199899,13,382,902,813,45.1,99.1,-7.4,-0.6,100.4,7,47,54,54
Portland Trail Blazers,Post,1610612757,199900,16,519,1170,1125,48.1,102.5,27.1,1.7,100.3,14,80,80,67
Portland Trail Blazers,Post,1610612757,200001,3,96,229,208,45.4,98.4,-3.4,-1.1,98.4,21,54,54,46
Portland Trail Blazers,Post,1610612757,200102,3,94,246,208,42.3,90.8,-21.1,-7.0,87.6,80,0,0,0
Portland Trail Blazers,Post,1610612757,200203,7,255,553,554,50.1,105.7,29.8,4.3,103.3,47,94,94,69
Portland Trail Blazers,Post,1610612757,200809,6,200,447,433,48.4,97.7,-10.3,-1.7,99.6,20,34,40,49
Portland Trail Blazers,Post,1610612757,200910,6,198,461,434,47.1,95.0,-23.0,-3.8,94.8,28,34,34,19
Portland Trail Blazers,Post,1610612757,201011,6,199,439,428,48.8,101.9,8.2,1.4,101.0,7,80,80,77
Portland Trail Blazers,Post,1610612757,201314,11,422,965,931,48.2,95.6,-42.8,-3.9,95.6,88,27,27,33
Portland Trail Blazers,Post,1610612757,201415,5,167,418,380,45.5,93.2,-27.5,-5.5,92.4,27,20,21,8
Portland Trail Blazers,Post,1610612757,201516,11,407,974,944,48.5,97.9,-19.9,-1.8,96.9,94,47,47,42
Portland Trail Blazers,Post,1610612757,201617,4,142,358,328,45.8,87.6,-46.5,-11.6,88.6,100,0,0,1
Portland Trail Blazers,Post,1610612757,201718,4,165,364,373,51.2,99.0,-3.9,-1.0,95.7,100,40,40,27
Sacramento Kings,Post,1610612758,199899,5,162,398,355,44.6,98.1,-7.0,-1.4,94.7,67,34,34,14
Sacramento Kings,Post,1610612758,199900,5,168,405,369,45.6,97.1,-11.0,-2.2,95.2,87,40,40,32
Sacramento Kings,Post,1610612758,200001,8,277,688,594,43.2,93.5,-41.0,-5.1,90.7,87,14,14,7
Sacramento Kings,Post,1610612758,200102,16,591,1319,1262,47.8,102.7,33.5,2.1,102.4,88,80,81,77
Sacramento Kings,Post,1610612758,200203,12,471,1026,1023,49.9,105.2,50.3,4.2,104.2,94,80,87,78
Sacramento Kings,Post,1610612758,200304,12,423,995,916,46.0,101.5,13.1,1.1,101.4,87,80,80,73
Sacramento Kings,Post,1610612758,200405,5,192,431,413,47.9,98.4,-6.9,-1.4,100.3,94,54,47,55
Sacramento Kings,Post,1610612758,200506,6,208,469,447,47.7,95.7,-20.2,-3.4,94.3,54,14,14,13
San Antonio Spurs,Post,1610612759,199798,9,300,649,635,48.9,101.6,10.1,1.1,102.1,21,74,67,73
San Antonio Spurs,Post,1610612759,199899,17,537,1192,1144,48.0,105.5,59.8,3.5,102.5,14,87,87,73
San Antonio Spurs,Post,1610612759,199900,4,113,304,238,39.1,83.4,-47.3,-11.8,81.0,47,0,0,1
San Antonio Spurs,Post,1610612759,200001,13,434,989,940,47.5,103.0,27.1,2.1,98.5,14,67,67,46
San Antonio Spurs,Post,1610612759,200102,10,329,762,708,46.5,99.8,-1.7,-0.2,98.0,20,60,60,38
San Antonio Spurs,Post,1610612759,200203,24,812,1842,1752,47.6,100.3,5.9,0.2,98.9,20,47,47,49
San Antonio Spurs,Post,1610612759,200304,10,335,762,739,48.5,106.9,47.5,4.8,106.4,47,100,100,94
San Antonio Spurs,Post,1610612759,200405,23,798,1759,1760,50.0,102.7,46.4,2.0,100.2,27,74,74,54
San Antonio Spurs,Post,1610612759,200506,13,474,963,1026,53.3,107.0,66.8,5.1,105.7,20,94,94,94
