Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Shaquille Harrison,Post,1627885,20172022,3,3,4,7,87.5,163.8,2.7,0.9,3.3,1.1,146.7,0,100,80,80,100
Alex Caruso,Post,1627936,20172022,31,71,174,171,49.1,92.1,-14.6,-0.5,14.7,0.5,83.3,23,32,40,40,17
Alfonzo McKinnie,Post,1628035,20172022,20,26,62,62,50.0,98.4,-1.1,-0.1,6.8,0.3,91.1,4,59,57,57,39
Markelle Fultz,Post,1628365,20172022,7,25,67,56,41.8,78.4,-15.3,-2.2,-3.7,-0.5,83.6,47,12,10,10,22
Jayson Tatum,Post,1628369,20172022,71,541,1229,1243,50.6,96.0,-51.7,-0.7,124.7,1.8,97.0,88,41,33,33,47
Jonathan Isaac,Post,1628371,20172020,5,11,40,26,32.5,64.0,-14.6,-2.9,-9.6,-1.9,57.6,44,2,5,5,1
Frank Ntilikina,Post,1628373,20172022,11,8,25,22,44.0,83.1,-4.5,-0.4,-1.1,-0.1,82.3,1,18,40,40,16
Donovan Mitchell,Post,1628378,20172022,39,379,880,887,50.4,95.7,-38.0,-1.0,85.1,2.2,94.3,99,43,42,42,43
Luke Kennard,Post,1628379,20172022,19,54,112,138,61.6,117.7,20.8,1.1,36.7,1.9,122.3,26,90,86,86,97
Zach Collins,Post,1628380,20172022,19,52,111,114,51.4,100.7,0.7,0.0,14.2,0.7,92.9,21,55,53,53,38
John Collins,Post,1628381,20172022,23,119,221,262,59.3,111.1,26.3,1.1,59.2,2.6,108.9,55,82,82,82,79
Justin Jackson,Post,1628382,20172022,5,4,11,8,36.4,68.1,-3.7,-0.7,-1.9,-0.4,63.2,1,39,40,40,37
OG Anunoby,Post,1628384,20172022,27,108,222,260,58.6,110.9,25.3,0.9,58.2,2.2,102.7,40,70,73,73,58
Harry Giles III,Post,1628385,20182021,1,0,1,0,0.0,0.0,-1.1,-1.1,-0.9,-0.9,0.0,0,0,22,22,0
Jarrett Allen,Post,1628386,20172022,8,33,56,66,58.9,113.6,7.9,1.0,16.3,2.0,101.6,31,82,78,78,57
T.J. Leaf,Post,1628388,20172021,3,3,7,6,42.9,80.2,-1.3,-0.4,-0.3,-0.1,76.9,1,57,47,47,57
Bam Adebayo,Post,1628389,20172022,46,261,467,522,55.9,105.1,25.3,0.5,99.3,2.2,104.1,56,62,67,67,64
Terrance Ferguson,Post,1628390,20172021,10,12,37,34,46.0,89.5,-4.2,-0.4,1.1,0.1,85.0,8,34,43,43,26
D.J. Wilson,Post,1628391,20172022,6,8,16,17,53.1,104.6,0.7,0.1,2.8,0.5,94.8,2,64,59,59,41
Isaiah Hartenstein,Post,1628392,20182022,1,2,2,4,100.0,196.9,2.0,2.0,2.2,2.2,211.3,0,100,96,96,100
Jordan Bell,Post,1628395,20172022,24,34,63,68,54.0,105.2,3.4,0.1,10.8,0.5,95.2,1,65,60,60,41
Tony Bradley,Post,1628396,20172022,8,8,16,16,50.0,94.5,-1.0,-0.1,1.6,0.2,85.7,2,36,54,54,32
Kyle Kuzma,Post,1628398,20172022,27,91,227,212,46.7,87.5,-30.4,-1.1,9.2,0.3,85.0,43,29,32,32,22
Semi Ojeleye,Post,1628400,20172022,28,21,74,56,37.8,72.6,-21.5,-0.8,-11.1,-0.4,65.8,2,13,34,34,11
Derrick White,Post,1628401,20172022,28,103,235,235,50.0,96.0,-10.5,-0.4,20.7,0.7,97.7,46,41,44,44,44
